gene name	list of shared diseases
TF	"Raynaud Disease;Intracranial Hemorrhages;Anisometropia;Somatoform Disorders;""Renal Failure, Progressive, with Hypertension"";Chronic Disease;Gastrointestinal Hemorrhage;Retinoschisis;""Amino Acid Transport Disorders, Inborn"";Pneumoconiosis;Otosclerosis;Duodenal Ulcer;Mood Disorders;Osteomyelitis;Periapical Abscess;Vitamin D Deficiency;""Depression, Postpartum"";Impetigo;Temporomandibular Joint Disorders;Thyroid cancer;Periapical Diseases;Schizophrenia;Subarachnoid Hemorrhage;Colles' Fracture;Alopecia;Sweat Gland Diseases;Glucose Intolerance;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Neck Pain;""Hypertension, Pregnancy-Induced"";Dermatomycoses;Epistaxis;"
PAPL	Restless Legs Syndrome;Esophageal Neoplasms;Appendiceal Neoplasms;Appendicitis;Hypercholesterolemia;Hodgkin Disease;Bronchitis;Angina Pectoris;Myocardial Infarction;Hemorrhoids;Heart Valve Diseases;Gastroparesis;Alzheimer Disease;Hydronephrosis;
CACNA1C	"Glossitis;Uterine Prolapse;Uveitis;Celiac Disease;Back Pain;Colonic Neoplasms;Behcet Syndrome;""Prader-Willi habitus, osteopenia, and camptodactyly"";"
LIPC	"Astigmatism;Chronic Disease;Aortic Aneurysm;Conduct Disorder;Myopia;Pulmonary Fibrosis;Parasomnias;Otitis Media;Sacroiliitis;""Diabetes Mellitus, Type 4"";Water-Electrolyte Imbalance;Corneal Diseases;""Intestinal polyposis, osteomas, sebaceous cysts"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Pelvic Inflammatory Disease;Bronchopneumonia;Corneal Opacity;Insect Bites and Stings;"
ZNF536	"Peptic Ulcer;Umbilical cord ulceration and intestinal atresia;Hemorrhagic Septicemia;Syncope;Disorders of other cranial nerves;Esophageal Motility Disorders;Hepatitis C;Kidney Neoplasms;""Carcinoma, Renal Cell"";Hyperbilirubinemia;""Hepatitis, Viral, Human"";Appendicitis;"
TBC1D30	"Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia;Dysthymic Disorder;Myoclonus;Feeding and Eating Disorders;""Diabetes Mellitus, Type 4"";""Dermatitis, Seborrheic"";Endocrine Gland Neoplasms;Mastoiditis;Somatoform Disorders;Cholesteatoma;Hirsutism;Atrophic Vaginitis;Sebaceous Gland Diseases;Vitamin B 12 Deficiency;Atherosclerosis;Umbilical cord ulceration and intestinal atresia;Essential Tremor;Enteritis;"
PHRF1	Chronic Disease;Hematuria;Accessory pancreas;Pancreatitis;Mink Viral Enteritis;Eye Infections;Lung Neoplasms;
LEF1	"Hypovolemia;""Dermatitis, Seborrheic"";Water-Electrolyte Imbalance;""Diabetes Mellitus, Type 4"";Orbital Cellulitis;""Diabetes Mellitus, Type 5"";""Renal Failure, Progressive, with Hypertension"";""Heart Failure, Systolic"";Linear IgA Bullous Dermatosis;Heart Failure;Brain Neoplasms;"
BICD1	"Autonomic Nervous System Diseases;Testicular Diseases;Periapical Diseases;Intervertebral disc disease;Genu Varum;Uveitis;Restless Legs Syndrome;Gestational Diabetes Insipidus;Neck Pain;Periapical Abscess;Glomerulonephritis;Spondylosis;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Bacteremia;""Child Development Disorders, Pervasive"";""Keratosis, Actinic"";Keratitis;Corneal Edema;Chronic Disease;"
GRIK2	"Deafness, Conductive, with Malformed External Ear;Hypertensive Retinopathy;"
NRXN3	"Heart Failure, Systolic;Heart Diseases;Obesity;Colonic Neoplasms;""Genital Diseases, Male"";Heart Failure;"
GRIK4	Hypertrophy;Mental Disorders;
TNXB	"Diabetes Mellitus, Type 4;Celiac Disease;""Diabetes Mellitus, Type 6"";""Diabetes Mellitus, Type 2"";""Diabetes Mellitus, Type 5"";""Diabetes Mellitus, Type 1"";""Lupus Erythematosus, Discoid"";Rosacea;Psoriasis;Autonomic Nervous System Diseases;Hematuria;Hearing Loss;""Dermatitis, Seborrheic"";Mouth Neoplasms;Macular Degeneration;Prostatitis;Urticaria;Presenile And Senile Dementia;Stomach Neoplasms;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Sunburn;Periodontitis;""Fractures, Stress"";Chronic Disease;Heart Failure;Eosinophilia;Diabetic Retinopathy;Hyperlipidemias;Ovarian Diseases;Colonic Neoplasms;Bone Neoplasms;"
1-Mar	"Hirsutism;Hypertension;Candidiasis;Hereditary Breast and Ovarian Cancer Syndrome;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Skin Neoplasms;Memory Disorders;""Genital Neoplasms, Female"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
SLC8A3	"Gingivitis;Gestational Diabetes Insipidus;""Polydipsia, Psychogenic"";Sepsis;Autonomic Nervous System Diseases;Pruritus;Periodontitis;"
HEATR7B1	"Hyperbilirubinemia;Jaundice;""Dermatitis, Seborrheic"";Sexual and Gender Disorders;"
GLIS1	"Hyperhidrosis;""Carbohydrate Metabolism, Inborn Errors"";Sweat Gland Diseases;Anxiety Disorders;Carbuncle;"
KCNE4	Tension-Type Headache;Sepsis;Alkalosis;Failure to Thrive;
PRKCA	Dental Caries;Torticollis;Heart Failure;
KCNE1	Otosclerosis;Respiratory Tract Neoplasms;Hypernatremia;Intracranial Hemorrhages;Candidiasis;
THRB	"Foot Deformities, Acquired;Out-of-Hospital Cardiac Arrest;""Cardiomyopathy, Dilated"";Cardiomyopathies;""Diabetes Mellitus, Type 2"";Chronic Disease;Hammer Toe Syndrome;Colonic Neoplasms;Heart Failure;"
KCNE3	Sunburn;Nasal Polyps;Chronic Disease;Giant Cell Arteritis;Urinary Bladder Neoplasms;Urethral Stricture;Tauopathy and Respiratory Failure;Postoperative Nausea and Vomiting;Esophageal Motility Disorders;Constipation;
GPR124	"Diabetes Mellitus, Type 6;""Amino Acid Transport Disorders, Inborn"";""Diabetes Mellitus, Type 4"";Bone Neoplasms;Bundle-Branch Block;"
C1QTNF7	Gynecomastia;Iron-Refractory Iron Deficiency Anemia;Lymphadenitis;
NME7	"Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1;Uterine Prolapse;Insect Bites and Stings;"
CTNND2	"Hereditary Breast and Ovarian Cancer Syndrome;Sunburn;Knee Dislocation;Postoperative Nausea and Vomiting;Irritable Bowel Syndrome;Back Pain;Out-of-Hospital Cardiac Arrest;""Genital Neoplasms, Female"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
RPS11	"Prostatitis;Thyroid cancer;Pediatric ulcerative colitis;""Foot Deformities, Acquired"";Genu Varum;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Leg Length Inequality;Dysmenorrhea;Contracture;"
CTNNA2	"Adrenal Gland Diseases;Somatoform Disorders;Digestive System Neoplasms;Brain Neoplasms;""Hyperparathyroidism, Secondary"";Sweat Gland Diseases;Ankylosis;Hyperhidrosis;Pediatric ulcerative colitis;Corneal dystrophy and perceptive deafness;Celiac Disease;"
C20orf194	"Torsion dystonia with onset in infancy;Hyponatremia;""Renal Failure, Progressive, with Hypertension"";Uveitis;Orbital Cellulitis;""Pneumonia, Pneumococcal"";Arthralgia;"
IVD	"Sleep Apnea, Central;Diverticulitis;Sleep disorders;Insect Bites and Stings;Sarcoidosis;""Menopause, Premature"";Salivary Gland Diseases;Raynaud Disease;"
IL4R	"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease;Graves Disease;Drug Resistant Epilepsy;Chronic Disease;""Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"";"
MAF	"Heart Septal Defects;Esophageal Motility Disorders;Blindness;""Arthropathy, Neurogenic"";Pericarditis;Chronic Disease;Bundle-Branch Block;""Gait Disorders, Neurologic"";Hearing Loss;Cholelithiasis;Personality Disorders;Irritable Bowel Syndrome;"
ADAMTS9	"Bacteremia;""Diabetes Mellitus, Type 7"";Mood Disorders;""Depression, Postpartum"";Hypothyroidism;Schizophrenia;Wandering Spleen;Somatoform Disorders;"
SHROOM3	"Epistaxis;Dupuytren Contracture;Tympanic Membrane Perforation;Urethral Stricture;Amblyopia;Bundle-Branch Block;""Aplastic anemia, idiopathic"";""Adrenocortical Hypofunction, Chronic Primary Congenital"";Hypernatremia;Pancytopenia;Heart Failure;Ovarian Diseases;Otitis Media;Adrenal Gland Diseases;"
SP7	Optic Atrophy;Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;Varicose Veins;Diplopia;Ovarian Diseases;Bipolar Disorder;Uterine Prolapse;Sebaceous Gland Diseases;Asthma;Pneumothorax;
RASGRP4	"Optic Atrophy;""Larynx, Congenital Partial Atresia of"";Endometriosis;Hearing Loss;Genu Varum;Cellulitis;"
CD276	"Spondylosis;Pneumonia;Cardiomegaly;Iatrogenic Disease;Graves Disease;""Hernia, Femoral"";Pediatric ulcerative colitis;Umbilical cord ulceration and intestinal atresia;"
TSEN15	"Parkinson Disease;Hypovolemia;Prurigo;Chronic Disease;Delirium;Iron Metabolism Disorders;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Hyponatremia;Stomach Diseases;"
PSMD6	"Lung Neoplasms;Bacterial Infections;Liver Diseases;Diverticulosis;""Alveolitis, Extrinsic Allergic"";Tricuspid Valve Insufficiency;""Genital Neoplasms, Female"";Basal Ganglia Cerebrovascular Disease;"
RNF186	Bundle-Branch Block;Prostatitis;Back Pain;Odontoma dysphagia syndrome;Erectile Dysfunction;Skin Neoplasms;Sprains and Strains;Neck Pain;Fasciitis;
AKD1	"Asthma;""Acne, Adult"";Choroid Diseases;""Conjunctivitis, Allergic"";"
FOXL1	"Jaw Diseases;Lyme Disease;Hearing Loss;Adenocarcinoma in Situ;Granulosa cell tumor of the ovary;""Keratosis, Actinic"";Mastoiditis;"
FGFR2	"Anorexia;Movement Disorders;Schizophrenia;Hypovolemia;Chronic Disease;""Depression, Postpartum"";"
FRMD4A	Thrombocytopenia;Lymphadenitis;Abdominal pain;
GRIN2B	"Schizophrenia;Retinal Detachment;Cervical Intraepithelial Neoplasia;Uveitis;Glucose Intolerance;Chronic Disease;Heart Valve Diseases;Feeding and Eating Disorders;""Diabetes Mellitus, Type 2"";Gastrointestinal Diseases;Mastoiditis;Corneal Diseases;Myocardial Infarction;Jaw Diseases;Uterine Cervical Neoplasms;Retinal Diseases;Breast Diseases;"
RIPK2	Dislocations;Pediatric ulcerative colitis;
ADAMTS20	Digestive System Neoplasms;Atrial flutter;Renal Colic;Feeding and Eating Disorders;
VEGFA	Parkinson Disease;Dysmenorrhea;
PGS1	"Aortic Aneurysm;""Genital Neoplasms, Male"";Skin Neoplasms;"
LUZP2	"Prostatitis;Eye Infections;""Rheumatoid Arthritis, Systemic Juvenile"";""Reflex, Abnormal"";Prurigo;"
RGS1	"Amblyopia;Colonic Neoplasms;Atrial flutter;Hypotension;Bile Duct Diseases;Abdominal pain;Myocardial Infarction;Raynaud Disease;""Genital Neoplasms, Male"";Blister;"
CLPTM1L	"Intestinal polyposis, osteomas, sebaceous cysts;""Genital Neoplasms, Female"";Polycythemia Vera;""Fractures, Stress"";Cervical Intraepithelial Neoplasia;Retinal Drusen;Retinal Diseases;Sebaceous Gland Diseases;Macular Degeneration;Pityriasis;Sexually Transmitted Diseases;Paget Disease Of Bone 4;Uterine Cervical Neoplasms;Cellulitis;Tauopathy and Respiratory Failure;Cholecystitis;"
HS6ST3	"Cellulitis;""Rheumatoid Arthritis, Systemic Juvenile"";Graves Disease;Esophageal Motility Disorders;Bipolar Disorder;"
MTCH2	Sleep Apnea Syndromes;Tympanic Membrane Perforation;Erectile Dysfunction;Speech Disorders;Hemorrhoids;Pharyngitis;Adrenal Gland Diseases;Gastroparesis;
DMRT1	"Rheumatoid Arthritis, Systemic Juvenile;Multiple Sclerosis;Jaundice;""Spondylitis, Ankylosing"";Chronic Disease;Cerebrospinal Fluid Otorrhea;"
NINJ2	Cellulitis;Varicose Veins;Sleep Apnea Syndromes;Brain Neoplasms;Sleep disorders;
WDR41	"Upper Extremity Deep Vein Thrombosis;Varicose Veins;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Polydipsia, Psychogenic"";""Adrenocortical Hypofunction, Chronic Primary Congenital"";Trigeminal Nerve Diseases;"
BCR	"Heart Failure;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Bursitis;Diplopia;Chronic Disease;"
NKX2-6	"Jaundice;Hyperbilirubinemia;Sclerosis;Heartburn;Umbilical cord ulceration and intestinal atresia;Bipolar Disorder;""Hernia, Femoral"";"
TMEM132C	Facial Nerve Diseases;Proteinuria;
IL28RA	Syncope;Renal Colic;Cardiomegaly;
PRKCZ	"Hyperhidrosis;Uterine Neoplasms;Anxiety Disorders;Retinal Drusen;Corneal dystrophy and perceptive deafness;Corneal Diseases;Testicular Hydrocele;Tongue Diseases;Chronic Disease;Personality Disorders;Phosphorus Metabolism Disorders;Aortic Aneurysm;Diabetes mellitus;""Diabetes Mellitus, Type 2"";""Corneal Degeneration, Ribbonlike, with Deafness"";Heart Failure;"
IL7R	"Pancreatic cancer, adult;Corneal Edema;Intracranial Hemorrhages;Tauopathy and Respiratory Failure;Rosacea;Chronic Disease;Hypertension;Hyperhidrosis;Endocarditis;Gastroenteritis;Tricuspid Valve Insufficiency;Gastrointestinal Diseases;Cellulitis;Testicular Hydrocele;""Influenza, Human"";Pulmonary Heart Disease;Erectile Dysfunction;Familial Acute Myeloid Leukemia with Mutated Cebpa;""Parathyroid Glands, Agenesis Of"";Sarcoidosis;"
PTPRG	"Gingivitis;Cellulitis;Dysuria;Sepsis;Cholecystitis;Phosphorus Metabolism Disorders;Glucose Intolerance;Hepatomegaly;Atrial Fibrillation;Chronic Disease;""Arthropathy, Neurogenic"";Lung Neoplasms;Intervertebral Disc Displacement;Out-of-Hospital Cardiac Arrest;Anorexia;Atrial Flutter;Goiter;Temporomandibular Joint Disorders;Optic Neuritis;""Granuloma, Pyogenic"";Hypernatremia;Optic Nerve Diseases;Hyperventilation;"
PTPRD	"Schizophrenia;Nasal Polyps;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Pleurisy;Gangrene;Odontoma dysphagia syndrome;""Spondylitis, Ankylosing"";Psoriasis;Peripheral Vascular Diseases;Stomach Diseases;Duodenitis;Tuberculosis;Hematuria;""Deafness, Conductive, with Malformed External Ear"";""Pyogenic arthritis, pyoderma gangrenosum, and acne"";""Goiter, Multinodular "";Cellulitis;Sunburn;Thyrotoxicosis;Osteomyelitis;Dislocations;Urinary Bladder Neoplasms;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Scoliosis;Myocardial Infarction;Cholelithiasis;Nephrotic Syndrome;Heart Septal Defects;Urticaria;Intracranial Hemorrhages;Liver Abscess;Cerebrospinal Fluid Otorrhea;Gastrointestinal Hemorrhage;Chronic Disease;Sprains and Strains;""Menopause, Premature"";Renal Osteodystrophy;Respiratory Insufficiency;Angina Pectoris;Dyspepsia;"
C5orf36	"Hearing Loss;Polyarteritis Nodosa;Personality Disorders;""Hypertension, Pregnancy-Induced"";Hypernatremia;Melanoma;Torticollis;""Reflex, Abnormal"";Fasciitis;"
PTPRK	Hypertension;Gastroparesis;Labyrinthitis;Periapical Diseases;
AP3S2	"Digestive System Diseases;""Diabetes Mellitus, Type 7"";Upper Extremity Deep Vein Thrombosis;Urinary Retention;Bipolar Disorder;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";Pleurisy;"
IL12A	"Water-Electrolyte Imbalance;""Carbohydrate Metabolism, Inborn Errors"";""Anemia, Pernicious"";Appendicitis;Keratoconjunctivitis Sicca;Cholangitis;Otitis Media;Appendiceal Neoplasms;""Diabetes Mellitus, Type 5"";Chronic Disease;Brain Neoplasms;Prurigo;Urticaria;Otosclerosis;Syncope;Mycoses;Neoplastic Processes;Endocarditis;""Diabetes Mellitus, Type 7"";Tuberculosis;Cholesteatoma;Vitamin B 12 Deficiency;"
SGSM2	"Endometriosis;Diplopia;Chronic Disease;Glomerulonephritis;Skin Neoplasms;Kidney Neoplasms;Epistaxis;Digestive System Neoplasms;Urinary Bladder Neoplasms;""Neoplasms, Connective Tissue"";"
PRKCE	"Child Development Disorders, Pervasive;Somatoform Disorders;Digestive System Neoplasms;Personality Disorders;Migraine Disorders;Keratoconjunctivitis Sicca;Dislocations;Chronic Disease;"
TNFRSF10A	Feeding and Eating Disorders;Hypernatremia;Herpes Simplex;Pneumonia;Bronchiectasis;Linear IgA Bullous Dermatosis;
RASGRP1	Sepsis;Hemoptysis;Mycoses;Cholangitis;Diabetes mellitus;
IRF2BPL	"Gastroparesis;Kidney Diseases;""Diabetes Mellitus, Type 2"";""Diabetes Mellitus, Type 4"";Raynaud Disease;""Diabetes Mellitus, Type 6"";Stomach Diseases;""Hyperparathyroidism, Secondary"";Iron-Refractory Iron Deficiency Anemia;""Prader-Willi habitus, osteopenia, and camptodactyly"";Renal Osteodystrophy;Hypernatremia;Appendicitis;"
PRDM15	"Corneal Opacity;Tobacco Use Disorder;Uterine Prolapse;Uterine Cervical Diseases;""Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"";"
LIPG	Pruritus;Erythema;Pulmonary Heart Disease;Chronic Disease;
CMIP	"Gout;Hypothyroidism;Paraproteinemias;Hyperparathyroidism;Chondrocalcinosis;""Renal Failure, Progressive, with Hypertension"";""Parathyroid Glands, Agenesis Of"";Chronic Disease;Spinal Cord Diseases;Carbuncle;Diaphragmatic Hernia;"
DKKL1	"Chronic Disease;""Glaucoma, Primary Open Angle"";""Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"";Schizophrenia;Mood Disorders;Respiratory Insufficiency;""Depression, Postpartum"";Intervertebral disc disease;Adjustment Disorders;"
SEZ6L2	"Leukemia;Hemiplegia;Mycoses;""Leukemia, Lymphoid"";Nervous System Diseases;Chronic Disease;Kidney Neoplasms;""Carcinoma, Renal Cell"";Hypotension;Brain Neoplasms;""Aplastic anemia, idiopathic"";"
ANK3	"Hammer Toe Syndrome;""Pneumonia, Pneumococcal"";""Abnormalities, Radiation-Induced"";Granulosa cell tumor of the ovary;Psoriasis;Hearing Loss;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Migraine with Aura;Fasciitis;""Tooth Eruption, Ectopic"";""Renal Failure, Progressive, with Hypertension"";""Adrenocortical Hypofunction, Chronic Primary Congenital"";Sinusitis;Eye Infections;Spinal Cord Diseases;Aphakia;"
LOC387933	Colles' Fracture;Bundle-Branch Block;
DIRAS2	Urinary Bladder Neck Obstruction;Wandering Spleen;Dysuria;
WNT11	Genu Varum;Tension-Type Headache;Thrombocytopenia;Conduct Disorder;Dysmenorrhea;
NUBPL	"Tobacco Use Disorder;Bone Neoplasms;Pleurisy;Schizoid Personality Disorder;Pancreatitis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Glomerulonephritis;Myopia;Cellulitis;Fever of Unknown Origin;""Aplastic anemia, idiopathic"";Neutropenia;Alopecia Areata;"
FBN2	"Sensation Disorders;Myopia;Acidosis;Cholangitis;Colonic Neoplasms;Nail Diseases;Iron-Refractory Iron Deficiency Anemia;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";"
GNG4	"Cardiomyopathy, Dilated;Cardiomyopathies;Multiple Sclerosis;"
EPS8	Uterine Cervical Neoplasms;Colles' Fracture;Varicose Veins;
NUP205	Chronic Disease;Macular Degeneration;Retinal Diseases;Glaucoma;Neck Pain;Cholangitis;Colonic Neoplasms;Gout;
TNNT3	Basal Ganglia Cerebrovascular Disease;Chronic Disease;Cellulitis;
KCNJ12	"Acne, Adult;Urinary Retention;Keratitis;Proteinuria;"
TM7SF4	"Hallux Valgus;Thyrotoxicosis;Epistaxis;Optic Nerve Diseases;""Genital Neoplasms, Female"";Brain Neoplasms;"
SLC44A4	"Rheumatoid Arthritis, Systemic Juvenile;Stomach Neoplasms;Bacteremia;Esophageal Neoplasms;Hemorrhagic Septicemia;Colonic Neoplasms;""Corneal Degeneration, Ribbonlike, with Deafness"";Liver Diseases;Giant Cell Arteritis;Atrial Flutter;Hearing Loss;""Acne, Adult"";Thyrotoxicosis;Atrial Fibrillation;Tauopathy and Respiratory Failure;""Pneumonia, Bacterial"";"
PCNX	Cachexia;Bundle-Branch Block;Temporomandibular Joint Disorders;Atrial Flutter;
EXOC3L2	"Adjustment Disorders;Anxiety Disorders;Heartburn;Personality Disorders;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";""Hepatitis, Viral, Human"";Polycythemia Vera;""Intestinal polyposis, osteomas, sebaceous cysts"";Keratoconjunctivitis Sicca;"
GLIS3	"Cerebrovascular Disorders;Tongue Diseases;""Dermatitis, Seborrheic"";""Hepatitis, Viral, Human"";Dry Eye Syndromes;Cystitis;Intracranial Hemorrhages;Heart Septal Defects;Cellulitis;""Spondylitis, Ankylosing"";"
VRK2	"Foot Deformities, Acquired;Osteoarthritis;Tauopathy and Respiratory Failure;""Keratosis, Seborrheic"";Spondylosis;Gastroenteritis;Chronic Disease;"
SNTB1	Amblyopia;Diverticulitis;Cholangitis;Restless Legs Syndrome;Esophageal Atresia;Osteoporosis;
PSD3	Heart Valve Diseases;Accessory pancreas;Cerebrospinal Fluid Otorrhea;Herpes Zoster;Epistaxis;Psoriasis;Cellulitis;
AGTR2	Intervertebral Disc Displacement;Periodontitis;Chronic Disease;Pulmonary Heart Disease;
C1orf63	Mental Disorders;Cystic Kidney Disease;Hallucinations;Diaphragmatic Hernia;
ITGAX	"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease;Migraine with Aura;""Acne, Adult"";""Parathyroid Glands, Agenesis Of"";""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Orbital Cellulitis;Bacterial Infections;Chronic Disease;"
LOC100289473	"Cardiac Conduction Defect;Atrial flutter;""Cardiac Arrhythmia, Ankyrin-B-Related"";Angina Pectoris;Alcoholism;Alzheimer Disease;Atrial Flutter;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Atrophic Vaginitis;Atrial Fibrillation;Alcohol-Related Disorders;"
